location,x,y,size,colors,rgb values,,,pixelx,pixely
tennis court,1.5,3.8,4,#d6f80a,(214,248,10),37,397
gym,4.3,3.8,4,#91a22c,(145,162,44),109,397
basketball court,6,3.8,4,#494c35,(73,76,53),153,397
hockeyCourt,8.96,3.77,6,#151800,(21,24,0),229,397
yampa,7.83,2.16,4,#09e7e3,(9,231,227),185,451
footBall court,13.5,3.64,7,#517a79,(81,122,121),345,397
golden jubilee,19.33,3.7,6,#a0f6f4,(160,246,244),497,397
MBA,22.39,3.32,5,#e9a0f6,(233,160,246),592,421
boys Hostel,1.75,5.92,8,#bf38d7,(191,56,215),63,354
parking,6.93,6.78,4,#4c0858,(76,8,88),188,335
garden,8.6,4.92,2,#d03c3c,(208,60,60),218,393
garden2,10.81,4.9,2,#f90d0d,(249,13,13),274,394
temple,7.55,8.65,3,#620000,(98,0,0),189,298
assembly Hall,9.5,7.47,5,#cf6868,(207,104,104),243,301
admin,8.4,6,4,#561010,(86,16,16),212,368
civil Block,12,6.93,2,#8a6969,(138,105,105),301,331
ENV+IP+polymer,14.03,6.13,5,#268031,(38,128,49),359,367
mech+EE,10,8.8,4,#50f163,(80,241,99),254,297
polytech Hostel,15.27,17.38,5,#476d4c,(71,109,76),407,62
polytech Block,17,18.2,5,#0a280e,(10,40,14),437,55
cricket Ground,19.49,14.1,34,#9fd0a6,(159,208,166),480,109
vuon Tech,16.42,9.6,5,#9facd0,(159,172,208),405,262
SJCE-STEP,16.39,6.5,4,#4b74e7,(75,116,231),405,344
mylari,19.87,6.61,4,#d38af9,(211,138,249),508,354
PDA block,23.98,5.13,5,#1b1f2a,(27,31,42),617,393
womens Polytech,25.49,3.87,4,#01040b,(1,4,11),641,410
canteen1,25.52,7.052,4,#09359c,(9,53,156),643,332
staff Quarters,25.6,9.6,4,#2b1c33,(43,28,51),645,268
JSS School,25,18.08,6,#110418,(17,4,24),627,34
canteen2,20,18.1,4,#9a6db2,(154,109,178),514,56
gate1,7,1,4,#505076,(154,109,178),184,470
gate2,24.5,0.7,4,#2e133c,(46,19,60),632,477
parking2,14.3,4.9,2,#195060,(25,80,96),367,393
nescafe,12.87,8.7,3,#bd3983,(189,57,131),330,297
